incident nummer,Beschrijving incident,hoofd afdelingen
1190341,Heeft per ongeluk bestand gesloten zonder tussentijds op te slaan. Kunnen wij nog iets terugvinden? XenappA9-03,Facility management
1245346,Heeft paslezer gekregen maar  deze werkt nog niet,Production A
1232102,Heeft op 4juli mail gestuurd naar servicedesk voor functioneel beheer maar nog niets terug gehoord.,Marketing
1248300,Heeft om 13:00 een afspraak met manager,Production A
1208275,Heeft nog steeds een Sharp MF staan,Production QA
1245270,Heeft nog niet de rechten voor applicatie Diamant,Commercial department
1243106,Heeft nog niet de beschikking over J:\Controlekamer-opname en postbus ocon-opname,Overig
1231419,"Heeft nog niet de beschikking over het ikoon ""WS-desktop""",Commercial department
1223673,Heeft nog geen SIM-kaart nieuwe abbonement,Marketing
1210244,Heeft nog een oud WS-logo in excelsheet staan,Marketing
1225526,Heeft nog 3 toetsenborden liggen.,Overig
1226360,Heeft nieuwe ipad. Mobile Inlog mailtje/uitnodiging nog niet ontvangen.,Commercial department
1251725,"Heeft nieuwe gsm, wil gebruik maken van WSpublic, is wel verbonden maar kan niet ""appen""",Overig
1214773,Heeft niet meer de beschikking over Monaco PIP,Production A
1214863,Heeft niet meer de beschikking over de plotter pt50868,Commercial department
1230845,Heeft niet de beschikking over monaco-pip,Production A
1252474,Heeft niet de beschikking over monaco-pip,Production QA
1240528,Heeft niet de beschikking over de Ricoh Aficio,Commercial department
1244347,Heeft met koptelefoon nog geen geluid,Production A
1252667,Heeft mails verwijderd ( ook uit prullenbak),Commercial department
1200016,heeft mail gestuurd naar verkeerde geadresseerde buiten het ZKH,Marketing
1236299,Heeft mail gekregen over webmeeting tussen Amsterdam en Amerika,Commercial department
1198270,Heeft maar twee ikonnen na inlog op bureaublad XenappH18-01,Commercial department
1198273,Heeft maar 2 ikonen op bureaublad na inlog,Commercial department
1198336,Heeft maar 2 ikonen na inlog XenappH18-01,Production QA
1192433,Heeft maar 1/4 beeld in de Noord-Hollandzaal,Commercial department
1248754,"Heeft losse laders op de afdeling, wil graag een laadstation",Commercial department
1200298,heeft laptops gekregen diverse vragen mbt installaties,Commercial department
1217837,Heeft laptop van pc beheer en moet nu weer inloggen maar weet niet hoe.,HR advies
1252353,Heeft info nodig over Video Conferene. Heeft mailtje ontvangen van ander ziekenhuis.,Overig
1242390,Heeft in outlook niet in mappen,Commercial department
1229130,Heeft in huidige KA wel Access maar in nieuwe KA niet,Overig
1252060,Heeft in de nieuwe KA niet de beschikking over ms-projects,Marketing
1239957,"Heeft in Amsterdam wel recht op een J:\ schijf,  Amsterdam niet.",Production A
1253656,Heeft iets gedaan binnen Word en is het bestand kwijt,Commercial department
1227661,Heeft hulp nodig bij installatie mobilInlog op Ipad. Komt as vrijdag rond 13.30 uur langs.,Facility management
1244859,Heeft hulp nodig bij de eerste maal inloggen.,Commercial department
1240405,Heeft hulp nodig bij branden van dvd,Commercial department
1233343,Heeft Hugo Hulshof nog een bestaand account?,Marketing
1236921,heeft helemaal gele waas over beeld,Production QA
1240992,"heeft handset thuis laten liggen, svp doorschakeling maken voor vandaag van 4315 naar 5241",Production A
1208033,Heeft haar wachtwoord gewijzigd. Alleen gaat het nu niet goed op de Ipad.,Production QA
1201054,Heeft google chrome nodig om bestanden uit te pakken van Wetransfer,Commercial department
1214696,"Heeft gisteren postbus toegevoegd van N. Nienhuis, maar kan deze nog steeds niet openen",Commercial department
1241262,Heeft geluid nodig voor presentatie in A. Schweitzer-zaal,Production QA
1236661,Heeft geluid nodig ivm online abonnementen,Production A
1194715,heeft gegevens in de outlook handtekening staan die er niet in moeten staan,Production QA
1234640,Heeft geen ww ontvangen van LROI account.,Production A
1197399,Heeft geen WS-Handtekening in nieuwe omgeving,Commercial department
1212230,Heeft geen toegang tot ruimtes met pas,Commercial department
1237327,Heeft geen toegang tot de juiste J-schijf.,Production QA
1213428,Heeft geen tabbladen in Excel,Production A
1239856,heeft geen startbalk meer,Commercial department
1222008,Heeft geen standaardprinter ingesteld,Overig
1213495,Heeft geen rechten tot CRM-ERP,Commercial department
1191024,Heeft geen rechten op bepaalde Mailbox,Commercial department
1214633,Heeft geen rechten op 3 zuid map,Commercial department
1221104,Heeft geen recht opEPD map binnen afdelingsschijf,Commercial department
1226420,Heeft geen recht op N:\ schijf,Marketing
1245542,"Heeft geen recht op J:\ schijf, collega's wel",Production A
1189096,Heeft geen printers.,Facility management
1213915,Heeft geen printers.,Production A
1221064,Heeft geen printers.,Commercial department
1235762,Heeft geen printers.,Commercial department
1251178,Heeft geen printers.,Production QA
1213589,Heeft geen printers onder sessie,Production A
1208054,Heeft geen printers meer.,Commercial department
1226524,Heeft geen printers in sessie,Overig
1205999,Heeft geen printers ertussen staan.,Commercial department
1215765,Heeft geen printers ertussen staan,Production A
1206050,Heeft geen printers er meer in staan.,Marketing
1248346,heeft geen printers bonnr 01248254,Commercial department
1193802,Heeft geen printers,Production A
1235765,Heeft geen printers,Commercial department
1240126,Heeft geen printers,Commercial department
1246505,Heeft geen printers,Production A
1246885,Heeft geen printers,Production A
1246790,Heeft geen printer,Marketing
1246110,Heeft geen polsbandpapier voor multifunctional meer,Production A
1217741,Heeft geen Poli Chirurgie map / drive,Production A
1245532,Heeft geen PDF995 printer,Marketing
1238879,Heeft geen netwerk verbinding op de kamers. De voorste gang als je de afdeling op komt lopen.,Production QA
1209167,heeft geen Monaco PIP icoon,Commercial department
1226461,Heeft geen mediaplayer,Commercial department
1226199,Heeft geen mailbox wat voor hem is aangevraagd,Commercial department
1189299,Heeft geen icoontje in Word om WS handtekening in te kunnen vullen,Production A
1237139,Heeft geen icoonen in beeld,Production A
1192490,heeft geen icoonen,Production A
1211735,Heeft geen hunite in de nieuwe KA,Commercial department
1235074,Heeft geen handtekening onder de mail staan,Production A
1236982,Heeft geen handtekening in Outlook.,Commercial department
1214520,Heeft geen handtekening bij beanwoorden e-mails,Commercial department
1242233,Heeft geen geluid op TC,Production A
1198304,heeft geen Flowtoilet icoon,Production QA
1217233,Heeft geen E-verwijzen in haar startmenu,Production A
1245688,Heeft geen Dashboard,Commercial department
1189436,heeft geen CS icoon meer in nieuwe KA-omgeving,HR advies
1242877,Heeft geen CS account.,Commercial department
1239738,Heeft geen CS 5.2 Productie (Subscribed),Production A
1230365,Heeft geen CRM-ERP icoon.,Commercial department
1220567,heeft geen crm - icoon,Production QA
1215401,Heeft geen account voor CS,Marketing
1248024,Heeft gebruiker nhospers rechten op ChipSoft?,Production A
1213870,"Heeft gebeld om een probleem af te melden,",Marketing
1194915,"heeft een Word document van thuis, wat ze niet kan openen",Production A
1244587,Heeft een WiFi antenne gevonden maar kan niet vinden waar deze bij hoort,Commercial department
1208085,Heeft een vraag over zijn ipad.,Commercial department
1208175,Heeft een vraag over nieuwe schermen.,Production A
1199430,Heeft een vraag over aanmaken emaioladres,Facility management
1253596,Heeft een vraag of iets besteld mag worden,Marketing
1207903,Heeft een vraag mbt WSPublic.,Commercial department
1207950,Heeft een vraag mbt het autoriseren van rechten.,Facility management
1204801,Heeft een vraag m.b.t. zijn IPAD.,Facility management
1224535,Heeft een vraag m.b.t. toevoegen van een extra postvak.,Commercial department
1200451,Heeft een vraag m.b.t. het in laden van beelden in het pacs.,Commercial department
1201003,Heeft een vraag m.b.t. Excel.,Production A
1207911,Heeft een vraag m.b.t. een tweetal bonnummers.,Commercial department
1207896,Heeft een vraag m.b.t. een projectie scherm,Commercial department
1200981,Heeft een vraag m.b.t. een mf.,Commercial department
1219633,Heeft een vraag m.b.t. een foto kopieren uit Rogan View.,Production A
1219644,Heeft een vraag m.b.t. de update van de bedienpost.,Marketing
1200466,Heeft een vraag m.b.t. autorisatie.,Commercial department
1208163,Heeft een tweetal vragen.,Facility management
1225634,Heeft een statistiekprogramma ncss.exe NCSS 97 die zij wil gaan gebruiken,Commercial department
1233841,"Heeft een patiënt uit China, wil contact leggen met domeinverzekeraar China",Commercial department
1227217,Heeft een oude PC aangesloten maar toetsenbord werkt nog niet,Overig
1234063,Heeft een nieuwe WS gekregen waar nog enkele zaken mee mankeren,Marketing
1220932,"Heeft een nieuwe mailadres, maar collega's hebben de oude er ook nog in staan.",Facility management
1249170,Heeft een lader nodig voor haar handset. (gebruiker gemaild voor doorberekening),Production A
1250218,Heeft een inlognaam gekregen. mtalsma Kan niet mee inloggen.,Overig
1238782,Heeft een handset (4081) die het alleen op de lader doet,Commercial department
1237431,Heeft een groot lettertype. Resolutie niet goed.,Production A
1205431,Heeft een erg trillend beeld.,Production A
1251395,Heeft een Android mobiel gekocht en  wil graag met de agenda synchroniseren.,Overig
1208191,"Heeft de verkeerde keuze gemaakt binnen het telefoonmenu,",Production A
1199872,heeft de printer niet in beeld staan,Commercial department
1227302,heeft de pp50020 niet als beschikbare printer,Marketing
1191828,Heeft de PP49996 printer in Amsterdam nodig. Mist die.,Overig
1248112,Heeft bij opruimen kamer diverse toners en cartridges gevonden,Commercial department
1229889,Heeft bestand gedownload via Wetransfer maar kan/mag deze niet uitpakken,Commercial department
1243629,Heeft autoristatie aangevraagd maar is niet voltooit,Commercial department
1228247,Heeft authorisatieformulier afgeleverd bij pipenzo ivm naamwiziging,Facility management
1233399,Heeft andere browser nodig om profielen van medewerkers te bekijken.,Commercial department
1244702,Heeft alleen WS Plaza ervoor,Commercial department
1198298,heeft alleen mijn documenten en mjin computer,Production A
1227309,Heeft Aficio niet als standaard printer,Commercial department
1227067,Heeft 2 handsets met een slechte accu.,Production A
1248760,Heefft geen printers.,Marketing
1236749,Hebben wij Microsoft.NET Framework 4.0 of 4.5?,HR advies
1241651,Hebben wij een VPN verbinding met het UMC?,Production A
1202882,hebben wij een bluetooth headset,Commercial department
1248990,"hebben een laptop, net RS hierover gesprControlekameren graag nog even dv",Production A
1189649,Heb geen printers ertussen staan,Marketing
1214826,headsets geleverd bij nieuwe tel. toestellen,Production A
1226103,Headsets gekregen maar deze werkt niet,Production QA
1228249,headsetprobleem dv BdV,Marketing
1197491,headset werkt niet goed,Overig
1252714,Headset voor telefoon. Kan dit maandag aangesloten worden rond 11 uur?,Production A
1232205,Headset van vaste telefoon kraakt en Inlog'd,Marketing
1195487,headset van telefoon 3438 is erg snel leeg,Production A
1249983,headset svp checken,Production QA
1253219,Headset op vaste telefoon werkt nog niet,Production A
1224542,headset geluid valt af en toe weg,Overig
1209083,headset doet het niet. Svp langsgaan,Production A
1230982,Headset bij de röntgen is onduidelijk,Production QA
1227867,Headset (netcom) werkt niet,Marketing
1201954,HD660 capture box. Kan geen klanten ophalen vanuit CS,Production QA
1234961,hardware error,Production A
1199791,"Hardware 25671 uit gebruik gezet, dit is niet juist",Marketing
1211829,Harde schijf van kassa 31 is vervangen en machine moet nu opnieuw in domein gehangen worden.,Marketing
1205234,"harde piep wanneer tst. wordt opgepakt. Geweigerd,",Commercial department
1189516,Hans svp terugbellen,Overig
1200491,Hans Peper,Overig
1199798,Hans geeft aan dat een gebelde persoon hem niet kan horen (dit 4 á 5 keer per dag),Marketing
1244667,Hans aan bureau,Marketing
1238706,Hangt in IE na een spam link in mailtje aangeklikt te hebben.,Marketing
1196490,Hangt in haar sessie vd Laptop,Commercial department
1213772,Hangt in CS.,Production A
1197303,Hangt in CS,Production A
1238277,Hangt in BO XI desktop intelligence.,Commercial department
1195107,handteking aanpassen,Production A
1252279,Handtekeningen aanpassen,Commercial department
1205413,Handtekening weg. Wil graag hulp bij aanmaken,Marketing
1213934,Handtekening weg in Outlook.,Overig
1192942,handtekening weg,Commercial department
1193581,handtekening weg,Overig
1197934,handtekening weg,Marketing
1202264,handtekening weg,Commercial department
1225885,handtekening veranderen,Commercial department
1221633,Handtekening toevoegen.,Commercial department
1197735,Handtekening Outlook weg,Commercial department
1193503,Handtekening outlook verdwenen,Overig
1238118,Handtekening Outlook nog niet zichtbaar,Production A
1189360,Handtekening outlook goed zetten,Commercial department
1196067,Handtekening outlook goed zetten,Commercial department
1205199,Handtekening outlook goed zetten,Production A
1210047,Handtekening outlook goed zetten,Commercial department
1191218,Handtekening outlook goed instellen,Production QA
1250166,handtekening Outlook geeft foutmelding over beveiligingscertificaat,Commercial department
1224122,Handtekening Outlook,Production QA
1188722,Handtekening opnieuw instellen,Production A
1199573,Handtekening opnieuw instellen,Production A
1214808,Handtekening opnieuw instellen,Overig
1223465,Handtekening niet goed.,Commercial department
1203458,Handtekening kwijt. Is al een bon voor. Bon 01203400,Production A
1254873,Handtekening kwijt in Outlook,Commercial department
1253385,Handtekening kwijt en eigen homedir,Production QA
1197017,handtekening kwijt,Commercial department
1203370,handtekening kwijt,Production QA
1234037,handtekening kwijt,Commercial department
1196029,Handtekening is weg bij nieuw mailtje,Marketing
1251689,handtekening is weg,Commercial department
1226986,Handtekening instellen foutmelding,Commercial department
1192483,Handtekening in Outlook weg,Production A
1194554,Handtekening in outlook veranderen,Production A
1240925,Handtekening in Outlook kwijt.,Production A
1214877,Handtekening in Outlook aanpassen.,Production A
1191068,Handtekening goed zetten,Commercial department
1195764,Handtekening goed zetten,Commercial department
1196068,Handtekening goed zetten,Commercial department
1209355,Handtekening goed zetten,Marketing
1205379,handtekening en adreslijst is verdwenen,Commercial department
1196137,handtekening en adresboek probleem,Production A
1197503,Handtekening en achief,Commercial department
1247724,Handtekening Ellen Zanderink aanpassen,Production QA
1197879,"Handtekening afdeling staat niet goed. Aangepast, maar pakt nog niet in Outlook",Production A
1193862,handtekening aanpassen,Commercial department
1214557,handtekening aanpassen,Commercial department
1214772,handtekening aanpassen,Production QA
1198745,handtekenig outlook goed zetten,Commercial department
1203429,handtekeing outlook weg,Overig
1246585,Handsets__nieuwe zwarte accu's geven problemen,Overig
1247254,Handsets__accu's leeg,Production A
1199133,"Handset's tst. 6018,3577,4137  gaven een piepen en gaven geen tel. bereik",Overig
1232834,Handsets op 3N hebben slecht bereik ter hoogte van ruimtenr. 3.M.21.4,Production A
1232796,handsets hebben zwakke accu,Production A
1205462,Handsets batterij slecht.,Production QA
1241541,Handsets 6001 en 6012 vallen uit terwijl zij wel opgeladen zijn,Commercial department
1244203,handsets 4093 en 3596 zwakke accu,Production A
1202098,"Handsetfunctie, bij bellen intern nr bij ingesprek op 5 drukken werkt niet meer",Marketing
1233733,Handset__wisselvallig met overgaan,Production QA
1255931,Handset__vraag over invensteringsaanvraag,Production QA
1239013,Handset__stekker adapter defect,Commercial department
1227836,Handset__slecht leesbaar display,Commercial department
1226913,Handset__meneer krijgt geen gehoor / geluid bij aannemen telefoons,Production QA
1234470,Handset__hoe doorschakelen,Commercial department
1244923,"Handset__geweigerd in beeld, geen gehoor bij oppakken",Production A
1246129,Handset__accu snel leeg,Production QA
1236520,Handset__ 3 accu's snel leeg,Production A
1234703,Handset.5352 Accu slecht.,Production A
1196523,Handset. Heeft verkeerde adresbook in zijn telefoon staan,Production A
1202268,Handset. Geen toegang geen kanaal beschikbaar. 4282,Production QA
1210404,Handset. 2 toestellen. Als 1 toestel gebeld wordt en niet opnemen wordt gedrukt gaat het bij ander toestel over.,Commercial department
1189006,"Handset, tst. 6112 accu raakt zeer snel leeg",Commercial department
1247750,handset zwakke accu nr 4906,Commercial department
1215256,handset zwakke accu,Commercial department
1231442,handset zwakke accu,Production A
1201946,"Handset zoek, ze zijn nu tel. niet bereikbaar",Commercial department
1230070,Handset wordt tijdelijk gebruikt en moet iets ontkoppelt worden want het werkt niet optimaal,Overig
1236523,Handset wil graag voicemail afluisteren,Production QA
1202350,handset werkt nog niet graag even terug bellen,Production QA
1218977,handset wegvallen 3577,Overig
1194115,Handset vraagt naar bert de vries,Production A
1205536,Handset vraag over Sennheiser,Production A
1254522,HAndset vraag,Commercial department
1235589,handset voor nieuwe dControlekamerter,Commercial department
1216234,handset voor betere bereikbaarheid CSA,Overig
1227702,Handset van Jeroen Miesen 5711 geeft problemen,Production A
1190288,Handset van functie en locatie veranderen,HR advies
1222458,Handset valt vaak uit. Waarschijnlijk accu slecht.,Commercial department
1190667,Handset valt telkens uit.,Commercial department
1199506,"Handset valt steeds uit,",Production A
1232389,Handset valt soms uit zodra deze van de hanndset gehaald wordt.,Production A
1228499,handset valt snel uit door het niet opladen van de accu,Commercial department
1208447,Handset valt snel uit,Commercial department
1211801,handset valt nog steeds uit na nieuwe accu,Commercial department
1225045,Handset valt af en toe uit.,Overig
1198844,handset uit in lader,Production A
1208927,Handset tsts. 5448 accu werkt niet goed,Commercial department
1235235,handset tstl 4451,Commercial department
1241455,handset tstl 3930 accu snel leeg,Production A
1208857,Handset tst.nr. 3207 doet het niet en het ligt niet aan de accu.,Commercial department
1214087,Handset tst. 5645 valt spontaan uit terwijl de accu nog aangeeft dat ie vol zit,Overig
1232279,"Handset tst. 5211 werkt niet, niets op display",Overig
1201847,handset tst 4369 problemen met accu van procescoordinator 5 west erna reefhuis,Commercial department
1230625,handset telnr 3023,Commercial department
1222874,Handset snel accu,Overig
1237813,handset slechte accu 3154 -> terugbellen svp,Production A
1225092,handset slechte accu (komt ze mee langs),Marketing
1241297,Handset Raymond Agermuur gevonden. Ligt bij Pipenzo.,Commercial department
1224697,handset op luidspreker,Commercial department
1220768,Handset op lader dat hij automatisch uit gaat werkt niet meer.,Overig
1200010,handset onverstaanbaar,Production QA
1208623,Handset OCON,Commercial department
1235320,Handset nieuwe Specialist,Commercial department
1247688,handset nieuwe accu 5043,Overig
1228189,handset nieuwe accu,Production QA
1212448,Handset moet vervangen worden,Commercial department
1195655,handset met toestel 2192 heeft zwakke accu.,Facility management
1226022,"handset leveren, arts assistent.",Marketing
1202410,handset leveren urologie,Marketing
1221599,Handset lader die het niet goed doet.,Overig
1254166,handset laadt niet op 4017,Production A
1225415,handset laadt niet op,HR advies
1211834,Handset laadt niet meer op,Overig
1227148,Handset kwijt. 4232 wil graag doorgschakeld hebben naar 4260,Production A
1222016,Handset krijgt ingesprek toon bij bijna alle nummers die hij belt,Overig
1241653,Handset kan wel bellen maar niet gebeld worden,Overig
1208439,Handset kan niet naar buieten bellen,Production A
1232167,Handset kan niet meer opgeladen worden.,Commercial department
1241591,handset K&V Amsterdam,Marketing
1193112,"Handset is kwijt, het gaat om tst. met nr. 6017",Commercial department
1228698,HAndset is kwijt,Commercial department
1201118,handset is defect,Commercial department
1214876,Handset in het water gevallen.,Commercial department
1213446,Handset in ACD plaatsen,Production QA
1218407,handset heeft vaak geen bereik of valt uit,Overig
1232701,Handset heeft streep in scherm,Production A
1235654,"handset heeft slecht geluid,...",Production A
1192487,HAndset heeft geen netwerk,Production A
1215186,HAndset heeft geen netwerk,Production A
1196500,Handset heeft een slechten accu,Commercial department
1239042,Handset heeft een slechte batrterij,Commercial department
1230052,HAndset heeft een slechte accu,Production QA
1233760,HAndset heeft een slechte accu,Commercial department
1234419,HAndset heeft een slechte accu,Commercial department
1252016,HAndset heeft een slechte accu,Production A
1252099,HAndset heeft een slechte accu,Commercial department
1252398,HAndset heeft een slechte accu,Marketing
1214209,handset geen bereik in ruimtenr 4K19.3,Commercial department
1232738,Handset geeft geen netwerk en blijft laden,Production QA
1210437,Handset geeft geen netwerk,Production A
1210825,Handset geeft aan dat de gebruiker geen toegang heeft om te bellen,Facility management
1249449,handset gaat uit zodra deze vd lader wordt gehaald,Production A
1197118,handset gaat uit zichzelf uit 5593,Overig
1221838,"Handset gaat uit in lader, komt langs",Commercial department
1209057,handset en token voor specialist urologie,Production A
1209156,handset en token voor specialist urologie,Commercial department
1197762,handset eenzijdige audio,Production A
1229537,"handset dr Schepers valt vaak uit, accu is al vervangen",Production A
1213777,handset doorverbinden,Facility management
1205357,HAndset doorschakeling erafhalen,Production A
1220703,handset doorschakelen naar gsm?,Commercial department
1228458,Handset doorschakelen is standaard niet mogelijk,Production A
1237836,handset doorschakelen hoe?,Overig
1190852,handset doorschakelen,Commercial department
1221506,Handset doet niks meer.,Production A
1229281,handset doet niets meer,Overig
1235385,Handset doet het niet. 3442. ook niet op de lader,Overig
1201248,"handset doet het niet, tst. 4282",Production QA
1228638,Handset doet het niet meer,Production A
1254824,Handset display is kapot.,Production QA
1218269,"Handset defect, komt langs",Overig
1246662,handset dControlekamertersassistente poli chirurgie,Production A
1228415,Handset consulttelefoon 3748 is doorgeschakeld naar 2867 maar #21 en dan op knop bellen,Commercial department
1228774,handset configureren voor nummer 2701 Controlekamer Amsterdam,Marketing
1233504,handset blijft in gesprek wanneer gebeld wordt op tst. nummer 5327,Overig
1200266,Handset batterij snel leeg.,Facility management
1237903,Handset accu werkt niet goed,Commercial department
1240206,Handset accu waarschijnlijk slecht,Production QA
1196562,handset accu vervangen svp 3669,Commercial department
1227593,handset accu snel leeg tel 4908,Facility management
1255396,handset accu snel leeg 3018,Production A
1237571,handset accu snel leeg -> bellen wanneer ze langs kan komen,Commercial department
1204702,Handset accu snel leeg,Production A
1227439,Handset accu snel leeg,Production A
1235638,Handset accu snel leeg,Overig
1221825,Handset accu slecht.,Facility management
1226712,Handset accu slecht.,Production QA
1241369,Handset accu slecht.,Production QA
1251880,Handset accu slecht.,Commercial department
1245866,Handset accu slecht,Commercial department
1256010,Handset accu slecht,Commercial department
1251909,handset accu leeg 2864,Production A
1252294,handset accu leeg,Production QA
1253721,handset accu 2829,Commercial department
1226367,Handset aanmelden op een basisstation lukt niet,Production A
1191212,Handset aangevraagd. Kan vast toestel worden volgens Bert. RFC moet aangepast worden.,Facility management
1207249,Handset 694822,Commercial department
1197622,handset 5871 -> accu vervangen,Production QA
1246778,handset 5828 gaat niet meer aan,Production A
1255003,Handset 5554__accu snel leeg,Production QA
1239757,handset 5547,Production QA
1235487,handset 5530 accu snel leeg,Production QA
1231028,handset 5483,Overig
1247107,Handset 5344__doet helemaal niets meer en maakt een raar geluid,Production QA
1250366,Handset 5325 dr. van den Ende__accu defect,Production A
1247151,"Handset 5238 defect, vermoedt onDirkant defect (laadprobleem)",Overig
1204563,handset 5169 accu valt steeds snel uit,Production QA
1228009,Handset 5091 krijgt telkens telefoon van VAM (5863) en andersom,Production QA
1195473,handset 5042 telefoonboekje nog niet terug,Commercial department
1244769,Handset 5018 - kan niet laden - start hierna niet meer op,Overig
1253309,Handset 4491__accu snel leeg,Production A
1191868,Handset 4485 is zoek. Is deze nog te traceren?,Production A
1215253,handset 4310 heeft slechte acccu,Commercial department
1247155,Handset 4307__accu defect,Commercial department
1251548,handset 4281 geeft aan geen netwerk,Production QA
1210012,handset 4280 geeft melding 'geen toegang',Production QA
1255027,Handset 4270__accu problemen,Production A
1226816,handset 4254 heeft een defect beeldscherm,Production A
1227913,handset 4230  kan zelf wel bellen alleen toestel is niet bereikbaar.,Production QA
1250024,Handset 4032__accu defect,Commercial department
1226839,handset 4017 heeft batterij probleem,Commercial department
1250430,Handset 3977__telefoon laten vallen (defect),Overig
1250732,handset 3806 valt steeds weg ondanks dat het toestel langdurig is opgeladen,Commercial department
1217827,"Handset 3534 geeft geen toegang aan, mevrouw komt langs.",Commercial department
1249048,Handset 3519__accu snel leeg,Marketing
1233211,Handset 3429 accu,Commercial department
1235076,handset 3209 komt langs met toestel ivm defecte accu,Commercial department
1214168,Handset 3083 valt telkens uit,Commercial department
1236248,handset 3081 -> slechte accu,Commercial department
1225857,Handset 2907 laad niet meer goed op,Production QA
1228374,handset 2858  gaat bij ander toestel over,Production A
1200055,Handset 2706 doet niets meer,Overig
1250501,handset 2641 zwakke accu,Commercial department
1198458,Handset 22092 valt uit als deze aangezet wordt ( toestel staat wel op lader),Commercial department
1232106,Handset 22091 -  telefoon valt steeds uit,Overig
1198504,Handset 2148 is zeer snel leeg,Production QA
1231438,handset 2116 accu komt ze mee langs,Commercial department
1205975,Handset 20084 doet het niet meer,Overig
1246322,Handset (5331)__accu snel leeg,Production QA
1232712,Handset - vraag over opladen,Production A
1195690,Handset  heeft een defect scherm sins een val,Production A
1211469,handset,Production A
1217901,handset,Production A
1224557,handset,Commercial department
1248891,handleiding grafische agenda overzicht,Commercial department
1250258,Handleiding gebruik video conferencing ->Mozaik,Commercial department
1190864,handleiding,Production A
1206620,"Hallo Janneke, prima, kun jij ook kijken of er nog meer KC’s in andere agenda’s op consulttype I staan",Commercial department
1195623,Had zijn telefoonboek gisteren terug. Nu weer weg.,Production QA
1249648,Haar account zou weer actief gemaakt zijn volgens P&O,Commercial department
1224820,Haakje voor koptelefoon afgebrControlekameren bij PC touchscreen (klant): kamer 4.82-3.,Commercial department
1210014,H9-02,Production QA
1201238,"H7-02 icoon CS start niet, traagheid, server threw an acception",Commercial department
1223829,H6-02 geen printers geinstalleerd,Production A
1215860,H5-02 geen geinstalleerde printers,Production A
1224580,H5-02 geen geinstalleerde printers,Commercial department
1202318,H4-02,Facility management
1241058,H18-02,Production A
1251737,h16-04 geen printers beschikbaar,Commercial department
1207448,H16-01 geen beschikbare printers,Production A
1221067,H12-02  geen beschikbare printers,Commercial department
1215774,H1-02 geen beschikbare printers,Production QA
1224560,h10-02 geen printers geinstalleerd,Commercial department
1249592,H:| schijf niet benaderbaar.,Commercial department
1199692,H:\ is niet toegankelijk. Kan het netwerkpad niet vinden.,Production QA
1192243,H schijf verdwenen,Production QA
1246816,h schijf niet benaderbaar,Production QA
1202146,h niet te benaderen,Facility management
1251902,h en j-schijf lopen vol,Commercial department
1224347,GX60 vervangingsverzoek,Production A
1231894,GX60 vervanging,Production QA
1217150,GX60 is zeer traag,Production A
1221018,GX60 (WS22127) vervangen voor een thin client,Marketing
1191807,GX 60 vervangen in maatschapskamer Urologie,Production A
1202407,gsm noodprocedure receptie,Marketing
1203314,GSM kan niet meer worden opgeladen,Facility management
1215830,"GSM is defect, graag naar kijken",Production A
1198814,gsm ingeleverd status uitgifte nieuwe telefoon,Commercial department
1214167,gsm info,Commercial department
1214066,gsm in haar postbakje van voor wie?,Commercial department
1228421,Grouper heeft een foutmelding,Commercial department
1190954,group policy foutmelding bij inloggen,Commercial department
1198686,Group policy,Marketing
1235083,Grotere letters__resolutie te hoog,Production A
1189027,Groothandel heeft elektronische order niet ontvangen,Marketing
1211752,groepspostbus toevoegen,Commercial department
1254810,groepspostbus rechten,Commercial department
1225156,groepspostbus Outlook,Commercial department
1193058,groepspostbus,Commercial department
1206427,groepspostbus,Commercial department
1226877,"Groepsnummer 3555, kan hier tst. 5730 aan toegevoegd worden.",Commercial department
1237265,groepsnummer 3320 niet bereikbaar *spoed*,Production A
1226210,groepsnrs niet bereikbaar vanaf bedienposten,Production QA
1255991,Groep uit Contactpersonen per ongeluk verwijderd.,Commercial department
1242529,groep kraama erbij,Commercial department
1241770,Groene geleider uit de onderste la aan de zijkant. Groen ding,Production QA
1199532,grid veld vestiging toevoegen RFC scherm,Marketing
1243199,Graan aanmaken postbus bij nieuwe gebruikers,Marketing
1232393,Graag zouden wij de logging willen zien van de OUL koppeling tussen Glims en Cloverleaf van 07-07-2013.,Marketing
1190329,Graag zou ik de dossier 5 omgeving ook willen hebben op mijn account kiaccept.,HR advies
1192387,Graag willen wij (de secr. van de IC) de mogeljkheid hebben om in CRM-ERP een brief voor de huisarts te maken.,Commercial department
1241624,Graag wijziging van het bandje op tel.nr 074-2905340.,Production QA
1241627,Graag wijziging van het bandje op tel.nr 0546-693130.,Production A
1200043,"Graag walloutlet p0-2-09 in ruimte K217 in V-Lan Fin-ERP plaatsen, VLannr 1161",Marketing
1223913,Graag wall outlet PP16/2 35 dispatchen. Deze wordt niet meer gebruikt door Fin-ERP.,Marketing
1241102,Graag vinkje geen contract nodig aanvinken met reden invullen,Marketing
1243720,Graag verwijderen oude hyperlink,HR advies
1241755,Graag vervanging van een beeldscherm door breedbeeld scherm,Overig
1249914,Graag verplaatsen van de TC naar een andere ruimte: 0.G.1.1,Production A
1251773,Graag verhuissen van TC,Commercial department
1250722,Graag verhuissen PC van Amsterdam naar Amsterdam,Production QA
1228495,Graag vergroten van postbus,Production QA
